action_tool_name,state,reform_category,Action_or_Tool,action_tool_type,description,data_announced_passed,effective_date,project_type,implementation,relevant_urls,executive_orders_leg,EO_Leg_ID
Allowing Self-Certification and At-Risk Submittals for Preliminary Work,Arizona,"Promote Certainty in Permitting Process,Consolidate or Eliminate Steps",Action,Regulatory Change,"Arizona allows qualified professionals to self‑certify and enabling at‑risk submittals for preliminary work give applicants more control over timelines and reduce unpredictability from sequential reviews, especially for compliant developers. This lets projects advance certain preparatory activities while final approvals are pending under defined conditions.
",2023-03-03,,"General,Other,Water",,"https://legiscan.com/AZ/text/SB1103/id/2730413
",recN8YfRO2RmpbEG8,S. 1103
Establishing State Permitting Requirements for Carbon Capture Storage,Illinois,Change Decision-Making Level,Action,Regulatory Change,"The SAFE CCS Act turns carbon capture and storage (CCS) into a state‑permitted activity, layered on top of federal Class VI well permitting, and gives Illinois EPA an ongoing role over deciding where, when, and how injection can occur.
",2025-01-01,2025-01-01,Other,Fully Implemented,"https://epa.illinois.gov/about-us/rules-regs/new-and-proposed-rules/illinois-safe-carbon-capture-sequestration-act.html

",rec5Q0rUOQ8LOwxwO,Public Act 103-0651 - IL SAFE CCS Act 
Updating frameworks and exemptions ,Vermont,"Promote Certainty in Permitting Process,Shift Culture,Consolidate or Eliminate Steps",Action,"Regulatory Change,Permit Cataloging/Mapping","- Vermont temporarily loosened Act 250 review for some housing projects through 2027, especially in places the state wants to encourage growth. 
- Outlined the long-term tiered Act 250 jurisdiction framework for Tiers 1A/1B, 2, and 3, shifting from a one-size-fits-all approach to a map-based system with different rules depending on the area/tiers. 
    - **Tier 1A/1B**: places where growth is encouraged and Act 250 review will be limited or removed.
    - **Tier 2**: the middle category, where existing Act 250 thresholds still mostly apply, with some added rules.
    - **Tier 3**: sensitive areas with stronger protections, especially for critical natural resources.
- Required future land use maps to use consistent land use categories tied to state designation and Act 250 jurisdictional areas.
",2024-06-01,,"Housing and Other Building Construction,General",Fully Implemented,"https://act250.vermont.gov/new-land-use-review-framework-act-181
",recFuBEwOwPBxWzT3,Act 181 (H.687)
Prioritizing Siting Approvals for Projects that Had to Begin Construction Before the Federal Deadline.,Oregon,"Shift Culture,Consolidate or Eliminate Steps",Action,Regulatory Change,"A 2025 Executive Order directed the Oregon Department of Energy to eliminate unnecessary federal agency consultation delays whenever Oregon law does not explicitly mandate them, streamlining the permitting timeline for time-sensitive renewable projects. This ""cut red-tape wherever legally possible"" approach allows state agencies to bypass federal coordination processes that aren't required by Oregon statute, compressing what could take months into weeks. The exemption applies only where state law permits agencies to proceed independently, ensuring legal compliance while accelerating approval speeds for projects racing against the federal deadline.
",2025-10-06,,"General,Clean Energy",Partially Implemented,"https://www.oregon.gov/gov/eo/eo-25-25.pdf
",recwLsTXwUi0fUcF6,EO 25-25 
Studying the Impact of Data Centers on Groundwater Supply,Virginia,"Set Projects up for Success,Benefits for Nature/Communities",Action,Written Resource,"A 2024 VA House resolution requested that the Department of Environmental Quality complete a one-year study of the groundwater supply in the Commonwealth with technical assistance provided by the State Water Control Board. The Department shall complete its meetings by November 30, 2025, and submit to the Governor and the General Assembly an executive summary and a report of its findings and recommendations no later than the first day of the 2026 Regular Session of the General Assembly.
",2024-03-05,2025-11-30,Data Centers,Unknown,"https://lis.virginia.gov/bill-details/20241/SJ25
",recKEwWlm41lQEYw8,SJ25
Creating the PermiTrack Digital Highway Work Permit System,New York,Utilize Data and Technology,Action,Dashboard/Portal,"Creates a new digital permitting platform for highway work permits replacing the paper-based system. Provides online application submission, permit tracking, document upload, and real-time status monitoring for utility, construction, and right-of-way permits on state highways.
",,,Transportation,Fully Implemented,"https://webapps.dot.ny.gov/online-permit-application
",,
Amending Housing and Transit Reinvestment Zone Framework to Establish Vested Development Rights ,Utah,"Promote Certainty in Permitting Process,Change Decision-Making Level,Set Projects up for Success",Action,Regulatory Change,"This law operates primarily as an accountability mechanism for county governments that failed to comply with the prior year's requirement to submit Housing and Transit Reinvestment Zone proposals. By granting vested development rights to property owners in non-compliant counties, the bill converts county inaction into a legal entitlement for qualifying developers. 
An application of the amendment was conferring specific development rights at Kimball Junction in Summit County, an instance where the state overrode local land use authority in response to county non-compliance.
",2023-03-17,2023-05-03,Housing and Other Building Construction,Fully Implemented,"https://le.utah.gov/~2023/bills/static/SB0084.html
",recaij14FUjyVpJrL,"Chapter 357, 2023 "
Streamlining Clean Energy Siting for Federal Tax Credits,California,"Promote Certainty in Permitting Process,Consolidate or Eliminate Steps,Change Decision-Making Level,Utilize Data and Technology",Action,Regulatory Change,"EO N-33-25 directed California's state agencies to identify and prioritize projects with federal tax credit deadlines, and hence the order creates a defined state-level pathway for time-sensitive clean energy applications. 
The Energy Working Group (under the Infrastructure Strike Team) reporting framework requires agencies to document specific streamlining actions and their outcomes, which generates a tracked record of permitting reform activities. The agencies must also identify specific duplicative or unnecessary steps in siting and permitting processes that can be eliminated for qualifying projects. 
Lastly, the Order directed the Governor's Office of Business and Economic Development to engage with local permitting authorities, creating a state-to-local coordination layer for clean energy project approvals.

",2025-08-29,2025-08-29,"General,Clean Energy",Partially Implemented,"https://www.gov.ca.gov/wp-content/uploads/2025/08/Clean-Energy-EO\_8.29.25\_FINAL.SIGNED.pdf
",rec5lUVD8a5F0nou9,EO N-33-25
Eliminating a 10 Year Permitting Backlog,Pennsylvania,"Shift Culture,Utilize Data and Technology",Action,Other,"Beginning November 1, 2023, DEP launched a systematic effort to clear its backlog of over 2,400 overdue permit applications, investing in staff (225 new hires) and technology. By late 2025, DEP entirely eliminated the backlog for for the first time in 15 years.
",2023-01-31,,General,Fully Implemented,"https://www.pa.gov/agencies/dep/newsroom/2026-01-27-dep-achieved-historic-success-in-permitting-in-2025-eliminates-backlog
",recBjS53UUY9PKANu,EO 2023-07
Modifies Department of Environmental Quality Permitting Procedures ,Utah,"Consolidate or Eliminate Steps,Utilize Data and Technology,Promote Certainty in Permitting Process",Action,Regulatory Change,"H.B. 85 addresses procedural gaps in the Department of Environmental Quality's permitting framework by establishing application completeness standards and refining agency review authority, with the stated intent of producing more predictable review timelines. The bill functions as the statutory complement to Executive Order 2025-01, codifying in statute a subset of the permitting efficiency reforms the executive order directed agencies to evaluate.
",2025-05-07,2025-05-07,"Ecological Restoration,Water,Clean Energy",Fully Implemented,"https://le.utah.gov/~2025/bills/static/HB0085.html
",recny2MoPohTT5yn0,"H.B. 85, 2025"
Enhancing Environmental and Public Health Protection by Creating Cooperatives between Local and State agencies,Washington,"Change Decision-Making Level,Shift Culture",Action,"Regulatory Change,Other","WA Chapter 311, 2025 Laws(Ensuring Environmental and Public Health Protection from Solid Waste Handling Facility Operations) reforms the permitting of solid waste treatment facilities by requiring that the Department of Ecology (DOE) review or approve any permit submitted by local Jurisdictional Health Departments (JHDs) prior to issuance of a permit by the JHD (before this bill, the JHD would issue a permit to an applicant and send the application to DOE afterwards. The DOE may decide to appeal the permit issuance to the Pollutions Control Hearings Board (PCHB)). The bill also gives the DOE powers of enforcement if a JHD submits written notice that it defers to the DOE's authority or if the DOE determines that a JHD's enforcement action is inadequate to address violations.
",2025-05-17,2025-07-27,Other,Fully Implemented,"https://lawfilesext.leg.wa.gov/biennium/2025-26/Pdf/Bills/House%20Passed%20Legislature/1154-S2.PL.pdf
",rec6LAojtTo8KOxjr,"Chapter 311, 2025 Laws"
Delegating NEPA Resposibilities for Transportation Infrastructure Projects,Nebraska,Change Decision-Making Level,Action,"Regulatory Change,Other","Governor Pillen and U.S. Transportation Secretary Sean Duffy announced an agreement through the Federal Highway Administration under which Nebraska's Department of Transportation (NDOT) assumes National Environmental Policy Act (NEPA) responsibilities for transportation infrastructure projects. 

This makes Nebraska one of only a small number of states to assume NEPA responsibilities, dramatically reducing the federal review layer for NDOT highway and infrastructure projects with the goal of shortening overall environmental review timelines.


",,2026-02-27,Transportation,Fully Implemented,"https://www.transportation.gov/briefing-room/trumps-transportation-secretary-sean-p-duffy-announces-nebraska-latest-state-partner

https://aashtojournal.transportation.org/fhwa-signs-nepa-partnership-with-nebraska/

",,
Virginia DEQ Mitigation Program,Virginia,Benefits for Nature/Communities,Tool,Written Resource,"DEQ provides guidance on compensatory mitigation for water quality and wetland impacts including mitigation banking.

",,,General,Fully Implemented,"https://www.deq.virginia.gov/news-info/shortcuts/permits/water/compensatory-mitigation
",,
"Allowing Data Centers in ""Industrial Areas""",Louisiana,"Set Projects up for Success,Consolidate or Eliminate Steps",Action,Regulatory Change,"A 2025 Louisiana specifies that data centers may be included in “industrial areas” which are granted certain privileges; adds that public roads should be provided for these areas.
",2025-06-04,2025-06-04,Data Centers,Fully Implemented,"https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=SB79&sbi=y
",recFcwJ1Oyr3bRATJ,SB79
